date,node_id,viewed_assets,status,issue,action,next
2026-07-04,CO_2009_002,question-01.png; solution-01.png,pass,本次对话题图与解析图已转入详情库；正式层只保留安全摘要,创建详情卡并刷新桥接快照,后续补 MarginNote 定位或稳定题源定位
2026-07-01,CO_2015_004,question-01.png; solution-01.png,pass,题图较薄但可读；解析长图可读,未修改,后续可复核来源 ID
2026-07-01,CO_2017_001,question-01.png; solution-01.png,partial_pass,题图清晰；解析图 1 可读；solution-02.png 未复核,未修改,继续查看 solution-02.png
2026-07-01,CO_UNK_009,question-01.png; solution-01.png,fixed,原 solution-01.png 与题图重复,删除重复解析图并重排解析图编号,继续查看重排后的 solution-02.png 和 solution-03.png
2026-07-01,DS_2014_003,question-01.png; solution-01.png,pass,用户手动补图可读，题图与解析匹配,未修改,无
2026-07-01,DS_2015_002,question-01.png; solution-01.png,pass,题图与解析图一致,未修改,无
2026-07-01,DS_2015_003,question-01.png; solution-01.png,pass,题图与解析图一致,未修改,无
2026-07-01,DS_2017_004,question-01.png; solution-01.png,pass,题图与解析图一致,未修改,无
2026-07-01,DS_2018_002,question-01.png; solution-01.png,pass,题图与解析图一致,未修改,无
2026-07-01,DS_2019_001,question-01.png; solution-01.png,pass,题图与解析图一致,未修改,无
2026-07-01,CN_2013_001,question-01.png; solution-01.png; solution-02.png,fixed,解析图片串入其他题；解析文字末尾混入其他题内容,错误解析图移入隔离目录，卡片移除错误引用与混入文字,后续补正确解析图时再登记
2026-07-01,OS_2018_005,question-01.png,partial_pass,题图较薄但可读；无解析图,未修改,后续复核解析文字
2026-07-01,CO_2024_004,question-01.png,needs_original_scan,MarginNote 文字卡渲染图，可复做但不是原题扫描,未修改,如能定位 MarginNote 原图，替换为原题扫描
2026-07-01,OS_UNK_015,question-01.png,partial_pass,题图较薄但可读，含来源标记痕迹,未修改,后续复核解析文字
2026-07-01,CO_UNK_006,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_008,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_015,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_017,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_020,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_025,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_027,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_028,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_037,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_038,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_039,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_040,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_041,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_042,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_043,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_044,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_045,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_046,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_047,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_048,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_049,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
2026-07-01,CO_UNK_050,question/solution hash check; representative images viewed,fixed_by_hash_duplicate_check,解析图片与题图文件内容完全重复,重复解析图移入隔离目录；详情页移除重复解析图引用；保留解析文字,后续抽查解析文字是否对应当前题
