node_id,subject,source_id,link,question_images,solution_images,has_solution_text,match_reason
CN_2009_001,计算机网络,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2009_001,1,1,no,正式ID标题匹配：CN_2009_001
CN_2009_002,计算机网络,HCN_0030,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2009_002,1,1,yes,OO3 定位标记匹配：2.1.4（18）；路径：408 > 计算机网络 > 计算机网络 > 第二章物理层 > 2.1通信基础 > 信道的极限容量 🌐 > 2.1.4（18）
CN_2009_003,计算机网络,EXAM408-2009-Q35,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2009_003,1,1,yes,规范真题 EXAM408-2009-Q35 exact source；王道别名 WD-CN03-34-MCQ-22
CN_2010_001,计算机网络,HCN_0020,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2010_001,1,1,yes,正式ID标题匹配：CN_2010_001
CN_2012_001,计算机网络,EXAM408-2012-Q36,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2012_001,1,1,yes,BATCH-007 visual exact / canonical EXAM408-2012-Q36 / byte_exact
CN_2013_001,计算机网络,HCN_0065,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2013_001,1,1,yes,定位标记标题匹配：3.3.3（07）
CN_2014_001,计算机网络,HCN_0040,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2014_001,1,1,yes,正式ID标题匹配：CN_2014_001
CN_2014_002,计算机网络,EXAM408-2014-Q36,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2014_002,1,1,yes,BATCH-012 visual exact / canonical EXAM408-2014-Q36
CN_2015_001,计算机网络,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2015_001,1,1,no,正式ID标题匹配：CN_2015_001
CN_2016_001,计算机网络,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2016_001,1,1,no,正式ID标题匹配：CN_2016_001
CN_2020_001,计算机网络,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2020_001,1,1,no,正式ID标题匹配：CN_2020_001
CN_2023_001,计算机网络,HCN_0021,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2023_001,1,1,yes,正式ID标题匹配：CN_2023_001
CN_2024_001,计算机网络,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2024_001,1,1,no,正式ID标题匹配：CN_2024_001
CN_2024_002,计算机网络,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_2024_002,1,1,yes,正式ID标题匹配：CN_2024_002；题图可读；2026-07-03 已从本地 2024 年解析 PDF 恢复独立解析图
CN_UNK_001,计算机网络,HCN_0001,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_001,1,1,yes,定位标记标题匹配：1.2.4（11）
CN_UNK_002,计算机网络,HCN_0002,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_002,1,1,yes,定位标记标题匹配：1.2.4（13）
CN_UNK_003,计算机网络,HCN_0003,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_003,1,1,yes,定位标记标题匹配：1.2.4（14）
CN_UNK_004,计算机网络,HCN_0004,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_004,1,1,yes,定位标记标题匹配：1.2.4（17）
CN_UNK_005,计算机网络,HCN_0005,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_005,1,1,yes,正式ID标题匹配：CN_UNK_005
CN_UNK_006,计算机网络,HCN_0006,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_006,1,1,yes,定位标记标题匹配：1.2.7（20）
CN_UNK_007,计算机网络,HCN_0007,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_007,1,1,yes,定位标记标题匹配：1.2.7（22）
CN_UNK_008,计算机网络,HCN_0008,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_008,1,2,yes,正式ID标题匹配：CN_UNK_008
CN_UNK_009,计算机网络,HCN_0009,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_009,1,1,yes,定位标记标题匹配：1.2.7（28）
CN_UNK_010,计算机网络,HCN_0010,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_010,1,1,yes,正式ID标题匹配：CN_UNK_010
CN_UNK_011,计算机网络,HCN_0011,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_011,1,1,yes,定位标记标题匹配：1.2.4（27）
CN_UNK_012,计算机网络,HCN_0012,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_012,1,1,yes,定位标记标题匹配：1.1.7（08）
CN_UNK_013,计算机网络,HCN_0013,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_013,1,1,yes,定位标记标题匹配：1.2.4（06）
CN_UNK_014,计算机网络,HCN_0014,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_014,1,1,yes,定位标记标题匹配：1.2.4（25）
CN_UNK_015,计算机网络,HCN_0015,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_015,1,1,yes,定位标记标题匹配：1.1.7（03）
CN_UNK_016,计算机网络,HCN_0016,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_016,1,1,yes,定位标记标题匹配：1.1.7（10）
CN_UNK_017,计算机网络,HCN_0017,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_017,1,1,yes,定位标记标题匹配：1.1.7（11）
CN_UNK_018,计算机网络,HCN_0018,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_018,1,1,yes,定位标记标题匹配：1.1.7（12）
CN_UNK_019,计算机网络,HCN_0019,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_019,1,1,yes,定位标记标题匹配：1.1.7（13）
CN_UNK_022,计算机网络,HCN_0022,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_022,1,1,yes,定位标记标题匹配：1.1.7（04）
CN_UNK_023,计算机网络,HCN_0023,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_023,1,1,yes,定位标记标题匹配：2.2.3（03）
CN_UNK_024,计算机网络,HCN_0024,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_024,1,1,yes,定位标记标题匹配：2.2.3（04）
CN_UNK_025,计算机网络,HCN_0025,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_025,1,1,yes,定位标记标题匹配：2.2.3（07）
CN_UNK_026,计算机网络,HCN_0026,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_026,1,1,yes,定位标记标题匹配：2.2.3（11）
CN_UNK_027,计算机网络,HCN_0027,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_027,1,1,yes,定位标记标题匹配：2.1.4（11）
CN_UNK_028,计算机网络,HCN_0028,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_028,1,1,yes,定位标记标题匹配：2.1.4（12）
CN_UNK_029,计算机网络,HCN_0029,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_029,1,1,yes,定位标记标题匹配：2.1.4（14）
CN_UNK_031,计算机网络,HCN_0031,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_031,1,1,yes,定位标记标题匹配：2.1.4（19）
CN_UNK_032,计算机网络,HCN_0032,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_032,1,1,yes,定位标记标题匹配：2.3.3（06）
CN_UNK_033,计算机网络,HCN_0033,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_033,1,1,yes,定位标记标题匹配：2.3.3（07）
CN_UNK_034,计算机网络,HCN_0034,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_034,1,1,yes,定位标记标题匹配：2.3.3（08）
