exam_question_id,year,official_question_no,question_type,subject,subject_name,question_pages,solution_pages,question_assets,solution_assets,question_ocr,solution_ocr,question_ocr_normalized_sha256,question_source_sha256,solution_source_sha256,question_source_path,solution_source_path,extraction_status,main_knowledge,hit_knowledge,knowledge_review_status,legacy_corpus_ids,formal_node_ids,canonical_status,duplicate_review_status
EXAM408-2009-Q01,2009,1,单项选择题,DS,数据结构,[2],[1],"[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q01/question-01.png""]","[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q01/solution-01.png""]","一、单项选择题：01 ~40小题，每小题2分，共80分。下列每题给出的四个选项中，只有一个选
项是最符合题目要求的。
01.为解决计算机主机与打印机之间速度不匹配问题，通常设置一个打印数据缓冲区，主机将要输
出的数据依次写入该缓冲区，而打印机则依次从该缓冲区中取出数据。该缓冲区的逻辑结构应
该是（）。
A. 栈
B.队列
C. 树
D. 图","1.解析：
缓冲区的概念出现在操作系统的设备管理中，其特点是先进先出。缓冲区的作用是解决主
机与打印机之间速度不匹配的问题，而不应改变打印数据的顺序。若用栈，先进入缓冲区的数
据则要排队到最后才能打印，显然不符题意，故选B。",e2a89e2a6f733f1f719c4e5f6f0087be373e6b3f76d55c231f7a1029c4c8faa5,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS03-07 队列基本概念,DS03-07 队列基本概念；OS05-17 缓冲区管理,reviewed,,,canonical_new,no_exact_existing_match
EXAM408-2009-Q02,2009,2,单项选择题,DS,数据结构,[2],[1],"[""corpus/408统考真题/assets-preprocessed/86d4328964c753540892072188aaf7c31b39dbe48cf4f7984e31a14b554217fa/2009/EXAM408-2009-Q02/question-01.png""]","[""corpus/408统考真题/assets-preprocessed/86d4328964c753540892072188aaf7c31b39dbe48cf4f7984e31a14b554217fa/2009/EXAM408-2009-Q02/solution-01.png""]","02.设栈S和队列Q的初始状态均为空，元素a，b,c,d，e，f,g依次进入栈S。若每个元素出栈后立
即进入队列Q，且7个元素出队的顺序是b,d,c， ，e,a.8，则栈S的容量至少是（）。
A.1
B.2
C.3
D.4","2. 解析：
由于队列的特点是先进先出，即栈S的出栈顺序就是队Q的出队顺序。故本题只需注意栈
的特点是先进后出。出入栈的详细过程见下表。
序号
说明
栈内
栈外
序号
说明
栈内
栈外
1
a 入栈
A
8
e入栈
ae
bdc
b入栈
Ab
9
f入栈
aef
bdc
3
b 出栈
A
b
10
f出栈
ae
bdcf
4
c入栈
Ac
b
11
e 出栈
a
bdcfe
5
d入栈
Acd
b
12
a 出栈
bdcfea.
6
d 出栈
Ac
bd
13
8入栈
g
bdcfea
7
c出栈
A
bdc
14
g 出栈
bdcfeag
栈内的最大深度为3，故栈S的容量至少是3。
【另解】元素的出栈顺序是b，d， c，f, e， a,g，可推出进栈出栈顺序 Push（S, a）， Push（S, b），
Pop（S, b）， Push（S, c）， Push（S, d）， Pop（S, d）， Pop（S, c）， Push（S, e）， Push（S, f）， Pop（S, f），Pop（S, e），
Pop（S, a）， Push（S, g）， Pop（S, g）。假设初始所需容量为0，每做一次 Push 进行一次“+1” 操作，
每做一次Pop 进行一次“-1”操作，记录容量的最大值为3，所以选C。",2c21dfff25ac5a9826aaa77a1fd4fbf7152d463153a2a3e0ef2ade90042a0842,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS03-04 入栈与出栈序列,DS03-04 入栈与出栈序列；DS03-07 队列基本概念,reviewed,,,canonical_new,no_exact_existing_match
EXAM408-2009-Q03,2009,3,单项选择题,DS,数据结构,[2],[1],"[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q03/question-01.png""]","[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q03/solution-01.png""]","03.给定二叉树如右图所示。设N代表二叉树的根，L代表根结点的左子
树，R代表根结点的右子树。若遍历后的结点序列是3，1,7,5,6,2,4，则
③
其遍历方式是（）。
①⑨
A. LRN
B. NRL
C. RLN
D. RNL","3. 解析：
分析遍历后的结点序列，可以看出根结点是在中间访问，而右子树结点在左子树之前，即
遍历的方式是RNL。本题考查的遍历方法并不是二叉树的3种基本遍历方法，对于考生而言，
重要的是要掌握遍历的思想。",d2bd3d509389a849633affb0a5491ff780512f23d9e6db32e47811f393741379,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS05-10 二叉树中序遍历,DS05-10 二叉树中序遍历,reviewed,,,canonical_new,no_exact_existing_match
EXAM408-2009-Q04,2009,4,单项选择题,DS,数据结构,[2],"[1, 2]","[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q04/question-01.png""]","[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q04/solution-01.png""]","04. 下列二叉排序树中，满足平衡二叉树定义的是（）。
（
B
C","4. 解析：
根据平衡二叉树的定义有，任意结点的左、右子树高度差的绝对值不超过1。而其余3个
选项均可以找到不符合该条件的结点。在做题过程中，如果答案不太明显，可以把每个非叶结
点的平衡因子都写出来再进行判断。",d4ab7dcd6f698faaed655828c98947b0a55735b8d81bb1a0f7818e1220a97d95,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS07-10 平衡二叉树 AVL,DS07-10 平衡二叉树 AVL,reviewed,,,canonical_new,no_exact_existing_match
EXAM408-2009-Q05,2009,5,单项选择题,DS,数据结构,[2],[2],"[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q05/question-01.png""]","[""corpus/408统考真题/assets/2009/EXAM408-2009-Q05/solution-01.png""]","05.已知一棵完全二叉树的第6层（设根第1层）有8个叶结点，则该完全二叉树的结点个数最多
是（）。
A. 39
B. 52
C.111
D.119","5. 解析：
• 完全二叉树比满二叉树只是在最下面一层的右边缺少了部分叶结点，而最后一层之上是个
满二叉树，并且只有最后两层有叶结点。第6层有叶结点则完全二叉树的高度可能为6或7，
显然树高为7时结点更多。若第6层上有8个叶结点，则前六层为满二叉树，而第7层缺失了
8x2=16个叶结点，故完全二又树的结点个数最多为（2'-1）-16=111个结点。",70df04062d50a7239b2e50cfcf45ce975f930abade7ebf11d9687406b4e6e8eb,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS05-06 完全二叉树,DS05-06 完全二叉树；DS05-04 二叉树性质,reviewed,,DS_2009_001,linked_existing_wrong_question,exact_crosswalk
EXAM408-2009-Q06,2009,6,单项选择题,DS,数据结构,[2],[2],"[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q06/question-01.png""]","[""corpus/408统考真题/assets/2009/EXAM408-2009-Q06/solution-01.png""]","06. 将森林转换对应的二叉树，若在二叉树中，结点 u是结点，的父结点的父结点，则在原来的
森林中，u和v可能具有的关系是（）。
I. 父子关系
II. 兄弟关系
I.u 的父结点与v的父结点是兄弟关系
A. 只有1I
B.I和II
C.I和瓜I
D. 1、1I和皿","6. 解析：
森林与二叉树的转换规则为“左孩子右兄弟”。在最后生成的二又树中，父子关系在对应
森林关系中可能是兄弟关系或原本就是父子关系。
情形1：若结点v是结点u的第二个孩子结点，在转换时，结点v就变成结点u第一个孩
子的右孩子，符合要求。
情形 I：结点u和v是兄弟结点的关系，但二者之中还有一个兄弟结点k，则转换后，结
点v就变为结点k的右孩子，而结点k则是结点u的右孩子，符合要求。
（u
II
情形 II：若结点u的父结点与v的父结点是兄弟关系，则转换后，结点u和v分别在两者
最左父结点的两棵子树中，不可能出现在同一条路径中。
②
①
图II
【逆向法】由题意可知u是v的父结点的父结点，如下图所示有4种情况：
（1）
（2）
（3）
（4）
根据树与二叉树的转换规则，将这4种情况转换成树种结点的关系。（1）在原来的树中u是
v 的父结点的父结点；（2）在树中u是v的父结点：（3）在树中u是v的父结点的兄弟；（4）在树中
u与v是兄弟关系。由此可知I和I 正确。",9f7a7571a7b4ec91be88287dcae0608403c0bb6bc81fbfab16dc68f3cf014381,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS05-16 树、森林与二叉树转换,DS05-16 树、森林与二叉树转换,reviewed,,,canonical_new,no_exact_existing_match
EXAM408-2009-Q07,2009,7,单项选择题,DS,数据结构,[2],[2],"[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q07/question-01.png""]","[""corpus/408统考真题/assets/2009/EXAM408-2009-Q07/solution-01.png""]","07. 下列关于无向连通图特性的叙述中，正确的是（）。
I. 所有顶点的度之和偶数
I.边数大于顶点个数减1
I.至少有一个顶点的度为1
A. 只有I
B. 只有II
C. I和II
D.1和皿","7. 解析：
每条边都连接了两个结点，在计算顶点的度之和时每条边都被计算了两次（出度和入度），
故所有项点的度之和边数的两倍，I正确。n个顶点、n-1 条边可以构成无向连通图，比如树，
II错误。顶点数为 N（N≥1）的无向完全图中不存在度为1的顶点，1I错误。",d95cc21a0318332e2aba9a7404b78766e9942cc18e51e860ceb3cced4a35726f,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS06-04 连通图与强连通图,DS06-04 连通图与强连通图；DS06-02 有向图与无向图；DS06-01 图的基本概念,reviewed,,,canonical_new,no_exact_existing_match
EXAM408-2009-Q08,2009,8,单项选择题,DS,数据结构,[2],"[2, 3]","[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q08/question-01.png""]","[""corpus/408统考真题/assets/2009/EXAM408-2009-Q08/solution-01.png"", ""corpus/408统考真题/assets/2009/EXAM408-2009-Q08/solution-02.png""]","08. 下列叙述中，不符合m 阶B树定义要求的是（）。
A. 根结点最多有 m棵子树
B. 所有叶结点都在同一层上
C. 各结点内关键字均升序或降序排列
D. 叶结点之间通过指针链接
第2页（共8页）","8.解析：
选项A、B和C都是B-树的特点，而选项D则是B+树的特点。注意区别B-树和B+树各
自的特点。",2391352120a0e183ad598ba3834aad3da32d477aa4ab11a25f329d178588cd1b,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS07-13 B 树,DS07-13 B 树；DS07-16 B+ 树,reviewed,,,canonical_new,no_exact_existing_match
EXAM408-2009-Q09,2009,9,单项选择题,DS,数据结构,[3],[3],"[""corpus/408统考真题/assets/2009/EXAM408-2009-Q09/question-01.png""]","[""corpus/408统考真题/assets/2009/EXAM408-2009-Q09/solution-01.png""]","09.已知关键字序列5，8,12,19,28.20， 15.22 是小根堆（最小堆），插入关键字3，调整后得到的小根
堆是（）。
A. 3,5, 12,8,28, 20,15,22,19
B. 3,5, 12,19,20,15,22,8.28
C. 3, 8, 12, 5,20, 15,22,28,19
D. 3,12,5, 8, 28,20, 15,22, 19","9.解析：
根据关键字序列得到的小顶堆的二叉树形式如下图所示。
⑤
②
z0
23
z0
⑤
②
②
③
19
（l）
（2）
（3）
插入关键字3时，先将其放在小顶堆的末端，如图（2）所示。再将该关键字向上进行调整，
得到的结果如图（3）所示。所以，调整后的小顶堆序列为 3，5, 12, 8, 28, 20, 15, 22, 19。",72991fe19ae11f4f7088a0365b4b298ff6464d81f66d977d1a05f1b9d844f506,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS05-22 堆的插入与删除,DS05-22 堆的插入与删除；DS05-21 堆,reviewed,,DS_2009_002,linked_existing_wrong_question,exact_crosswalk
EXAM408-2009-Q10,2009,10,单项选择题,DS,数据结构,[3],[3],"[""corpus/408统考真题/assets-preprocessed/4975584e9db90eb2947d5c3bce3e968ee1ec27a244bf4c81ced8ef9190ec1470/2009/EXAM408-2009-Q10/question-01.png""]","[""corpus/408统考真题/assets/2009/EXAM408-2009-Q10/solution-01.png""]","10. 若数据元素序列 11,12，13，7,8,9,23,4,5 是采用下列排序方法之一得到的第二趟排序后的结果，
则该排序算法只能是（）。
A. 冒泡排序
B. 插入排序
C. 选择排序
D. 二路归并排序","10. 解析：
解答本题需要对各种排序算法的特点极为清楚。对于冒泡排序和选择排序，每一趟都能确
定一个元素的最终位置，而题目中，前2个元素和后2个元素均不是最小或最大的2个元素并
按序排列。选项D中的2路归并排序，第一趟排序结束都可以得到若干个有序子序列，而此时
的序列中并没有两两元素有序排列。插入排序在每趟排序后能确定前面的若干元素是有序的，
而此时第二趟排序后，序列的前三个元素是有序的，符合其特征。",6968ae2be74d8c9165faf87ce1c98b7192afbb15f0ec7018bd32cdc81da3930f,df97c285afe091f3b0d51dc616840f6113f32ca1ea01d4aa51728cdba3307cb5,a9db7c32a91a9bf4fbcbc1050224d0aa414637f697c09fdee1bb7ff4696df78c,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题.pdf,/Users/xiazhibin/Documents/408考研电子书资料/408考研资料/09-26计算机408真题及解析版本2/2009-2016/2009年408计算机专业基础真题解析.pdf,complete,DS08-04 直接插入排序,DS08-04 直接插入排序；DS08-18 排序算法适用场景,reviewed,,DS_2009_003,linked_existing_wrong_question,exact_crosswalk
